Ciclo,Error medio de entrenamiento,Error medio de validación
0,0.02663890260778919,0.0228446343351424
1,0.023355390415403438,0.022035956010600377
2,0.022885136230286447,0.021708901696681784
3,0.02257348096830469,0.021499873899179022
4,0.022355528993261417,0.02135738009578038
5,0.022203282182390132,0.021259120266429198
6,0.02209686365176797,0.021191268999112212
7,0.022022392875783704,0.021144469460928204
8,0.021970222470805375,0.02111226236037591
9,0.021933641740456134,0.02109016688453736
10,0.02190797433020596,0.021075070024598
11,0.021889955583325328,0.021064808014166634
12,0.021877302609678365,0.021057877047010145
13,0.021868416727114915,0.02105323266974254
14,0.021862177004068204,0.02105015037066338
15,0.02185779667279071,0.021048128537902708
16,0.02185472305085016,0.021046820823709116
17,0.021852567650058278,0.021045988959901646
18,0.02185105728092721,0.021045469821454544
19,0.021849999791903565,0.021045152431040926
