Ciclo,Error medio de entrenamiento,Error medio de validación
0,0.591268741662616,0.08821591897393696
1,0.5744535832723818,0.0871159024087082
2,0.5737966551894652,0.08720479136350245
3,0.573731192776635,0.08731330099210699
4,0.5737190858691718,0.08737831953529623
5,0.5737144417684723,0.08741456410341046
6,0.5737120612305693,0.08743454070611673
7,0.573710768370999,0.08744552935175454
8,0.5737100594123512,0.08745157156507817
9,0.5737096699576388,0.0874548935973758
10,0.5737094559227323,0.08745671999694168
11,0.5737093382747553,0.08745772410503404
12,0.5737092736022835,0.08745827613339931
13,0.5737092380495336,0.08745857962054913
14,0.5737092185044658,0.08745874646744105
15,0.5737092077594573,0.0874588381940493
16,0.5737092018522871,0.08745888862210378
17,0.5737091986047516,0.08745891634565854
18,0.5737091968193779,0.08745893158708172
19,0.5737091958378445,0.0874589399662721
20,0.5737091952982329,0.08745894457285158
21,0.573709195001574,0.08745894710538436
22,0.5737091948384816,0.08745894849768056
23,0.573709194748819,0.08745894926311494
24,0.5737091946995257,0.08745894968392323
25,0.5737091946724264,0.08745894991526884
26,0.573709194657528,0.08745895004245408
27,0.5737091946493372,0.08745895011237637
28,0.5737091946448343,0.08745895015081698
29,0.5737091946423589,0.08745895017195023
30,0.573709194640998,0.08745895018356878
31,0.5737091946402496,0.08745895018995571
32,0.5737091946398385,0.08745895019346712
33,0.5737091946396123,0.0874589501953977
34,0.5737091946394878,0.0874589501964592
35,0.5737091946394196,0.08745895019704268
36,0.5737091946393822,0.08745895019736354
37,0.5737091946393613,0.08745895019753999
38,0.57370919463935,0.0874589501976365
39,0.5737091946393438,0.0874589501976901
40,0.5737091946393402,0.0874589501977195
41,0.5737091946393383,0.08745895019773547
42,0.5737091946393372,0.08745895019774456
43,0.5737091946393369,0.08745895019774935
44,0.5737091946393365,0.08745895019775209
45,0.5737091946393363,0.08745895019775325
46,0.5737091946393363,0.08745895019775399
47,0.5737091946393361,0.08745895019775479
48,0.5737091946393361,0.08745895019775493
49,0.5737091946393361,0.08745895019775496
50,0.5737091946393361,0.0874589501977547
51,0.5737091946393361,0.08745895019775493
52,0.5737091946393361,0.08745895019775507
53,0.573709194639336,0.08745895019775529
54,0.5737091946393361,0.08745895019775503
55,0.5737091946393361,0.08745895019775511
56,0.5737091946393361,0.08745895019775486
57,0.5737091946393361,0.08745895019775486
58,0.5737091946393361,0.08745895019775515
59,0.5737091946393361,0.08745895019775486
60,0.5737091946393361,0.087458950197755
61,0.573709194639336,0.08745895019775479
62,0.573709194639336,0.08745895019775503
63,0.5737091946393361,0.08745895019775511
