"","x"
"1","nube"
"2","nube"
"3","cieloDespejado"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","multinube"
"9","multinube"
"10","nube"
"11","multinube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","multinube"
"20","nube"
"21","nube"
"22","multinube"
"23","nube"
"24","nube"
"25","nube"
"26","multinube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","multinube"
"35","nube"
"36","multinube"
"37","nube"
"38","nube"
"39","multinube"
"40","nube"
"41","nube"
"42","multinube"
"43","nube"
"44","nube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","multinube"
"50","multinube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","multinube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","nube"
"64","nube"
"65","nube"
"66","multinube"
"67","nube"
"68","nube"
"69","nube"
"70","multinube"
"71","nube"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","multinube"
"77","nube"
"78","multinube"
"79","nube"
"80","nube"
"81","nube"
"82","nube"
"83","multinube"
"84","multinube"
"85","nube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","multinube"
"93","multinube"
"94","nube"
"95","nube"
"96","nube"
"97","cieloDespejado"
"98","multinube"
"99","multinube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","nube"
"105","multinube"
"106","multinube"
"107","nube"
"108","nube"
"109","nube"
"110","multinube"
"111","nube"
"112","nube"
"113","multinube"
"114","nube"
"115","nube"
"116","nube"
"117","nube"
"118","multinube"
"119","nube"
"120","multinube"
"121","cieloDespejado"
"122","nube"
"123","multinube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","multinube"
"129","nube"
"130","multinube"
"131","nube"
"132","nube"
"133","nube"
"134","nube"
"135","nube"
"136","nube"
"137","multinube"
"138","multinube"
"139","nube"
"140","nube"
"141","nube"
"142","nube"
"143","nube"
"144","multinube"
"145","multinube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","nube"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","multinube"
"156","multinube"
"157","multinube"
"158","nube"
"159","nube"
"160","cieloDespejado"
"161","cieloDespejado"
"162","nube"
"163","nube"
"164","cieloDespejado"
"165","multinube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","cieloDespejado"
"171","nube"
"172","nube"
"173","nube"
"174","multinube"
"175","nube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","cieloDespejado"
