"","cieloDespejado","multinube","nube"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,1,0
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,1,0
"15",0,1,0
"16",0,1,0
"17",0,1,0
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",0,1,0
"22",0,1,0
"23",0,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,1,0
"33",1,0,0
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,1,0
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,1,0
"44",0,0,1
"45",0,1,0
"46",0,0,1
"47",0,1,0
"48",0,0,1
"49",0,1,0
"50",0,0,1
"51",0,1,0
"52",0,0,1
"53",0,1,0
"54",0,1,0
"55",0,0,1
"56",0,0,1
"57",0,1,0
"58",0,0,1
"59",0,0,1
"60",0,1,0
"61",0,0,1
"62",0,0,1
"63",0,0,1
"64",0,1,0
"65",0,0,1
"66",0,1,0
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,1,0
"73",0,0,1
"74",0,1,0
"75",0,1,0
"76",1,0,0
"77",0,1,0
"78",0,1,0
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",0,1,0
"83",0,0,1
"84",0,0,1
"85",0,0,1
"86",0,0,1
"87",0,0,1
"88",0,0,1
"89",0,0,1
"90",0,1,0
"91",0,0,1
"92",1,0,0
"93",0,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",0,1,0
"98",0,1,0
"99",0,0,1
"100",0,0,1
"101",0,0,1
"102",0,0,1
"103",0,1,0
"104",0,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",0,0,1
"112",0,0,1
"113",0,1,0
"114",0,0,1
"115",1,0,0
"116",0,0,1
"117",1,0,0
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,1,0
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",1,0,0
"132",0,0,1
"133",0,0,1
"134",1,0,0
"135",0,0,1
"136",0,1,0
"137",0,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",0,1,0
"144",0,0,1
"145",0,1,0
"146",0,0,1
"147",0,0,1
"148",1,0,0
"149",0,1,0
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
"158",0,1,0
"159",0,1,0
"160",0,0,1
"161",0,1,0
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",0,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
"171",0,0,1
"172",0,0,1
"173",0,0,1
"174",0,0,1
"175",0,0,1
"176",1,0,0
"177",1,0,0
"178",1,0,0
"179",1,0,0
