"","x"
"1","nube"
"2","nube"
"3","multinube"
"4","nube"
"5","multinube"
"6","nube"
"7","multinube"
"8","nube"
"9","nube"
"10","nube"
"11","multinube"
"12","nube"
"13","multinube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","multinube"
"20","nube"
"21","nube"
"22","multinube"
"23","multinube"
"24","nube"
"25","nube"
"26","nube"
"27","multinube"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","nube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","multinube"
"41","nube"
"42","nube"
"43","multinube"
"44","nube"
"45","multinube"
"46","nube"
"47","nube"
"48","multinube"
"49","nube"
"50","nube"
"51","multinube"
"52","multinube"
"53","nube"
"54","multinube"
"55","nube"
"56","nube"
"57","nube"
"58","nube"
"59","nube"
"60","nube"
"61","nube"
"62","multinube"
"63","nube"
"64","nube"
"65","nube"
"66","nube"
"67","nube"
"68","nube"
"69","nube"
"70","nube"
"71","multinube"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","cieloDespejado"
"78","nube"
"79","multinube"
"80","nube"
"81","cieloDespejado"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","multinube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","multinube"
"95","multinube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","multinube"
"101","multinube"
"102","multinube"
"103","nube"
"104","cieloDespejado"
"105","nube"
"106","multinube"
"107","nube"
"108","multinube"
"109","multinube"
"110","nube"
"111","nube"
"112","multinube"
"113","nube"
"114","cieloDespejado"
"115","multinube"
"116","cieloDespejado"
"117","multinube"
"118","multinube"
"119","multinube"
"120","nube"
"121","multinube"
"122","nube"
"123","nube"
"124","nube"
"125","multinube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","nube"
"132","nube"
"133","nube"
"134","cieloDespejado"
"135","multinube"
"136","cieloDespejado"
"137","nube"
"138","nube"
"139","nube"
"140","nube"
"141","multinube"
"142","nube"
"143","multinube"
"144","multinube"
"145","nube"
"146","nube"
"147","multinube"
"148","cieloDespejado"
"149","nube"
"150","nube"
"151","nube"
"152","nube"
"153","nube"
"154","multinube"
"155","nube"
"156","multinube"
"157","nube"
"158","multinube"
"159","multinube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","nube"
"165","nube"
"166","multinube"
"167","nube"
"168","nube"
"169","nube"
"170","multinube"
"171","multinube"
"172","cieloDespejado"
"173","nube"
"174","multinube"
"175","nube"
"176","cieloDespejado"
"177","nube"
"178","cieloDespejado"
"179","multinube"
"180","nube"
